1571811042,0,17,2,"CA,C6,C9,C2;D5,D10,DQ,D8;DA,D7,C4,D6;S9,SA,S7,S4;CJ,C7,DK,CQ;C8,SJ,D9,C5;S8,D4,SQ,DJ;S3,D3,CK,D2;H8,C10,S6,SK;HQ,C3,S2,S5;H7,HK,H5,H2;H6,HJ,H9,H3;HA,H10,S10,H4"
1571811042,0,6,2,"C3,C8,C9,C2;S4,SK,S5,S2;SQ,S10,SA,S6;D7,DK,D6,DA;C7,DQ,CK,C6;CA,CJ,D3,C5;D10,D5,C10,CQ;DJ,D8,D2,C4;HJ,H2,H10,HQ;HK,H3,D4,H7;S8,SJ,H9,S9;H8,H4,D9,S3;HA,H5,H6,S7"
1571811042,0,4,2,"C10,CQ,C4,C2;S9,S5,S3,S7;D3,D10,D9,D7;SJ,S8,S4,S10;D6,D5,DJ,D2;DQ,SQ,S2,SK;CA,CJ,C5,SA;C7,DK,C6,S6;C9,C8,C3,CK;D4,D8,HQ,DA;H4,HA,HJ,H7;H3,HK,H9,H10;H5,H6,H8,H2"
1571811042,0,4,2,"CQ,C9,CK,C2;D3,D10,DK,D4;S7,S4,S6,S3;C5,C4,C7,C3;SJ,S9,D7,S10;DQ,DA,C8,C6;SA,S8,D5,S5;D6,DJ,SQ,D2;HA,H10,H5,H4;CJ,D9,H3,C10;H6,HJ,SK,D8;H8,H2,CA,HK;HQ,H9,S2,H7"
1571811042,0,0,2,"CQ,C9,C10,C2;D7,DA,D8,D9;C3,D5,D10,DJ;S7,S9,SQ,SJ;S8,S3,S10,S5;C8,DQ,C5,DK;CK,D3,SA,D2;C4,CA,S2,C7;H2,C6,SK,D6;H8,HK,CJ,D4;H3,H5,S4,S6;H10,H4,H9,H6;H7,HJ,HQ,HA"
1571811042,0,20,2,"C9,C5,C8,C2;DJ,D4,D3,DK;S3,SQ,S8,S6;SK,SA,CQ,SJ;D10,D2,D8,D6;S10,C3,CJ,CA;S7,C10,C4,C6;S4,C7,D5,S9;DQ,DA,HQ,D7;HA,H4,HJ,H5;H7,CK,H6,H8;H2,S2,H10,H3;H9,D9,S5,HK"
1571811042,0,5,2,"CQ,C3,C7,C2;C10,C8,CA,CK;DK,D4,D3,DJ;SJ,CJ,C9,C4;SA,SQ,S6,S8;D9,D5,S3,D10;S10,S4,S2,S7;S5,C5,D2,C6;H9,H10,D8,D7;S9,H6,H4,SK;DQ,H2,H8,D6;HA,H3,H5,DA;HQ,HK,H7,HJ"
1571811042,0,17,2,"C8,C4,CA,C2;C10,C9,C3,CJ;D10,D4,DA,DJ;S6,S5,SA,S3;D9,D6,D7,D3;SQ,S9,S4,SJ;C7,D5,S10,C6;DQ,S8,CQ,S7;CK,D8,HA,D2;H7,DK,C5,SK;H9,H5,H10,S2;H8,HJ,H6,H4;HK,HQ,H2,H3"
1571811042,0,9,2,"C6,S7,C4,C2;DQ,D2,D9,D6;S10,SA,SQ,S4;CJ,S5,C5,C9;S2,S3,S9,S8;C10,DK,C8,C7;D7,CA,C3,CK;SJ,D8,D5,D10;S6,DJ,DA,D4;H2,HJ,H8,HK;HA,HQ,H4,H7;H9,CQ,H6,SK;H3,H5,H10,D3"
1571811042,0,0,2,"CQ,C3,CA,C2;DJ,DQ,D6,DK;S8,S4,S5,S3;C7,C6,C5,CJ;C10,C9,D9,C8;D5,DA,D3,D2;SK,D4,S2,S7;D10,CK,SQ,C4;SA,S6,D8,SJ;HQ,HK,H7,H9;HA,H4,H10,H2;H5,D7,HJ,S10;H6,H3,H8,S9"
1571811042,0,1,2,"C3,C8,CQ,C2;D8,D7,D4,D5;S5,S2,S10,SK;C9,C10,CJ,CK;S3,SJ,S4,S9;D9,SQ,S8,SA;DJ,C7,C5,C6;D2,D10,DA,S6;D6,H2,DK,S7;H8,HK,H5,HJ;HQ,H6,D3,H9;H7,C4,H10,DQ;H4,CA,H3,HA"
1571811042,0,0,2,"CK,CQ,C7,C2;S10,S5,SJ,S2;DJ,D6,D3,D2;DQ,S7,S6,S9;C6,C10,C5,CA;C9,CJ,D10,C3;D9,SQ,DK,S3;C4,S8,D8,SA;D5,D4,H7,DA;H9,SK,HA,S4;H5,HQ,H6,D7;HK,H3,H4,C8;H8,HJ,H10,H2"
