1571857084,0,13,3,"C8,C10,C5,C2;S4,S8,S6,SA;DK,D5,D10,D7;SJ,S9,SQ,S3;CQ,C6,C4,C7;S10,D2,S2,S7;D4,DA,D8,DQ;DJ,D3,D6,D9;CK,CA,H4,S5;CJ,H5,H6,SK;C3,H3,H2,C9;H10,HA,H8,H7;HQ,H9,HK,HJ"
1571857084,0,8,3,"C5,C9,C4,C2;S7,SQ,S5,SK;S10,S8,D6,S2;C7,CK,CQ,C6;D5,D3,DJ,DA;D7,D10,D8,D4;CJ,C3,C10,CA;SJ,D2,S3,S9;D9,SA,DK,C8;HQ,S6,DQ,S4;H3,H5,H9,H2;HJ,H6,HA,H10;HK,H7,H8,H4"
1571857084,0,0,3,"C4,C5,CJ,C2;S9,SA,S7,S10;D4,DK,DJ,DQ;S2,S8,D6,S5;C6,CA,CQ,C3;S4,SK,D7,SJ;D8,D3,DA,D5;C9,D10,C10,C8;SQ,H7,H2,S6;H9,HK,D2,D9;H10,H5,S3,C7;HQ,H3,H4,CK;HJ,HA,H6,H8"
1571857084,0,0,3,"C9,CQ,C7,C2;D4,DA,D9,DJ;CA,CK,CJ,C3;S7,S5,SA,S6;S10,SJ,SQ,SK;C4,DQ,C10,C6;D2,D7,D3,D6;D8,C8,S2,D10;DK,S4,S3,S9;H10,H9,H3,H8;S8,C5,HA,D5;H5,H6,H2,HK;HJ,HQ,H7,H4"
1571857084,0,0,3,"C6,CQ,C5,C2;D4,D5,D7,D10;D6,DQ,D2,D9;CA,C7,CK,CJ;SA,SQ,SK,S10;S3,S2,S4,S8;C4,DJ,D3,DA;S5,C8,S6,SJ;C3,C9,DK,D8;S9,H2,HJ,S7;H8,H7,H3,H10;HK,H6,H9,HQ;H5,C10,H4,HA"
1571857084,0,14,3,"C4,CJ,CK,C2;S2,S10,SK,S8;S9,D6,SA,SJ;D5,DQ,D7,D3;CA,D9,C9,CQ;D8,C6,C5,C8;D2,S6,C7,C3;HJ,DA,D10,DJ;S4,C10,HK,S7;SQ,DK,HQ,S5;H8,H5,HA,H9;H4,H10,H2,D4;H3,H7,H6,S3"
1571857084,0,0,3,"C8,C5,CA,C2;S2,SQ,S3,S9;D8,D5,D7,DK;D9,D6,DJ,D4;D3,C3,CJ,CQ;D10,S8,S7,DA;SK,C6,CK,C9;SJ,D2,S6,S4;H4,S5,S10,DQ;H5,C10,HJ,C4;HQ,HA,H3,SA;H10,H2,HK,C7;H8,H6,H7,H9"
1571857084,0,5,3,"C9,C7,C8,C2;S3,SQ,SJ,S7;D5,S2,DQ,DJ;C5,CA,C10,C4;SA,S10,D6,S8;CK,D9,C6,CQ;D8,S6,S4,SK;DK,DA,H10,D3;H2,D10,D2,D4;D7,C3,HQ,CJ;H6,S5,H9,S9;H3,HA,H5,HJ;HK,H8,H4,H7"
1571857084,0,6,3,"C7,C8,CQ,C2;D9,D3,DA,D4;S10,S9,S6,SK;C5,CA,C10,CJ;S3,C4,D2,S2;DK,D10,SA,S8;S7,C9,D5,S5;DQ,C6,S4,D8;CK,C3,D7,DJ;HK,HJ,H8,H6;H2,H3,HA,H9;H10,SQ,H4,H7;SJ,D6,HQ,H5"
1571857084,0,4,3,"CJ,C8,C10,C2;CQ,SK,SJ,S10;DK,DA,D3,D4;D10,S6,SQ,SA;DQ,DJ,S9,S2;D7,CA,C6,C5;D5,D6,S5,D2;S3,C7,CK,C3;C4,S4,D8,C9;H6,H2,H3,H4;H10,H8,HA,HQ;H5,S7,HJ,H7;HK,H9,S8,D9"
1571857084,0,19,3,"CQ,C10,C5,C2;D7,DK,D3,D2;SA,S8,SQ,S5;D8,C4,C3,C6;DQ,D6,S10,D4;S7,SJ,SK,S3;D9,C8,H2,CA;DA,D5,HQ,D10;C7,HJ,S4,S6;CJ,H3,S9,S2;DJ,CK,H6,C9;H5,HK,H10,H7;HA,H8,H9,H4"
1571857084,0,13,3,"CJ,C10,CK,C2;DK,DQ,D2,D5;S3,SA,S9,S6;CA,C3,CQ,C6;SQ,SJ,DA,SK;C5,C7,C4,C9;D7,DJ,D9,D8;D4,S8,S10,S2;D6,C8,S4,S7;H4,H9,H2,HJ;HK,H10,HQ,H3;D10,S5,H7,D3;H5,HA,H6,H8"
1571857084,0,0,3,"CJ,CK,C8,C2;S10,S7,SA,S4;D3,D10,D2,D7;C4,CQ,C7,C5;D8,DJ,S8,DK;D6,DQ,C10,DA;SK,D4,S9,S5;D5,S6,S2,D9;C3,CA,S3,SJ;HJ,C6,HQ,C9;HA,HK,H7,SQ;H10,H9,H3,H2;H5,H4,H8,H6"
