1571859310,0,17,2,"C3,C10,CJ,C2;S7,SJ,SK,S9;C6,S4,S6,S5;S2,C5,DA,S10;S3,D10,C8,SA;C4,C9,CK,C7;D9,D8,D6,DQ;SQ,D3,CA,CQ;H5,H3,H4,H10;HA,H7,HK,H2;S8,D7,H8,D5;HJ,DJ,H6,D4;H9,D2,HQ,DK"
1571859310,0,10,2,"C7,C8,CQ,C2;CJ,C5,C6,CA;DJ,D7,D10,DQ;D9,D6,D5,DK;S7,S6,S2,SJ;S4,SK,SA,S10;D8,D4,S5,D2;C3,C4,CK,C10;H7,H5,H3,H8;S8,H4,H2,HK;S9,H6,H9,HJ;D3,C9,HA,HQ;H10,SQ,DA,S3"
1571859310,0,0,2,"C7,C10,C4,C2;SA,S4,S5,SK;CJ,CA,CK,C5;SQ,S8,S3,S2;D8,D10,DA,D6;D2,C9,CQ,C6;C3,S7,S6,S10;DJ,D5,D9,DK;DQ,HQ,D7,D4;H10,H9,H6,H8;C8,H4,HJ,H7;H2,D3,H3,HK;HA,SJ,S9,H5"
1571859310,0,6,2,"C10,C5,C8,C2;DJ,D10,D7,D6;SK,S4,S6,S7;CA,DA,DQ,D4;D2,DK,C4,D9;CK,C6,CJ,C9;S3,S9,SQ,SJ;C3,C7,S5,CQ;H2,H6,H9,H4;H10,SA,D5,D3;HJ,H8,S8,D8;H7,H3,S2,HQ;H5,HA,S10,HK"
1571859310,0,0,2,"CA,CK,C3,C2;DJ,D3,D6,D7;S10,S6,S9,S5;S3,SJ,SA,S4;S2,SQ,D10,S8;D9,DK,DA,D2;C6,C8,CJ,C5;C4,D4,CQ,SK;D8,DQ,D5,S7;H8,HQ,C9,C10;H6,HA,H2,H10;H7,HJ,H3,H5;H4,HK,C7,H9"
1571859310,0,18,2,"C4,CA,C10,C2;CK,S8,S4,SA;D9,D10,D6,DA;C9,S2,S10,S3;DJ,D5,DK,D7;S9,C6,CJ,C7;SK,D3,SQ,DQ;CQ,SJ,HJ,D8;C3,S5,H9,C5;C8,S6,H5,D2;H3,S7,H8,D4;H10,H2,HA,HK;H4,HQ,H7,H6"
1571859310,0,4,2,"C3,C5,C6,C2;D6,D3,SA,D4;S4,S2,S7,S10;D5,S6,D8,DQ;DK,S8,DJ,D7;C8,CA,CJ,C4;S9,CQ,SQ,D9;SJ,C9,S3,D2;CK,SK,C10,DA;S5,H8,H4,C7;HJ,H10,H6,D10;H7,H2,H3,H9;HA,HQ,H5,HK"
1571859310,0,4,2,"C10,CK,C3,C2;D5,D10,D4,DK;S10,S6,SQ,SJ;S5,S8,S2,S4;C6,D2,D3,DA;C7,S9,S7,S3;D9,CA,C5,C8;CQ,D8,D7,C4;D6,DQ,DJ,C9;SA,H4,SK,CJ;H9,HK,HA,H5;H6,H7,H8,H3;HJ,HQ,H2,H10"
1571859310,0,4,2,"C4,C6,C9,C2;SA,S9,S4,S2;DK,S7,S5,SK;CA,C8,CK,C5;DJ,DQ,D2,D4;C3,D10,D3,CQ;SQ,D8,S6,S10;D6,D7,CJ,C10;C7,H2,S8,S3;SJ,HQ,HA,D5;H9,H5,H7,D9;H3,HK,H10,DA;HJ,H8,H4,H6"
1571859310,0,4,2,"C10,C4,C3,C2;S6,S10,S3,SA;C8,D5,C5,CA;SJ,S2,S8,S4;DK,D8,D10,D7;DQ,CK,D6,D2;C9,D3,DA,DJ;S9,SK,D9,S7;CQ,S5,D4,CJ;SQ,HK,C7,C6;H2,H5,H7,H9;H8,HA,HJ,HQ;H10,H4,H6,H3"
1571859310,0,0,2,"CQ,C7,CA,C2;C5,C6,C10,C4;S2,SK,SJ,S3;D8,D6,D3,DK;D10,DJ,D9,D7;S9,SA,S7,S4;D4,D5,C9,D2;HJ,S6,SQ,S10;S5,H10,C3,CK;S8,H7,DQ,CJ;H3,H8,DA,C8;HK,HA,HQ,H2;H4,H6,H5,H9"
1571859310,0,0,2,"C5,CQ,CJ,C2;D6,D3,D9,D8;DJ,DA,D7,D10;S7,S5,S6,SK;SQ,S3,S2,S10;CA,D4,D2,DK;C6,C8,D5,DQ;C7,C9,C4,C3;S4,S9,S8,SJ;H9,H10,H2,HA;H3,HQ,SA,H8;CK,H7,H6,HK;C10,H4,HJ,H5"
