1571909581,0,17,2,"C7,CA,C4,C2;D4,D7,D3,D5;C8,CJ,C6,C5;S8,S9,S10,S3;S7,SK,SQ,S6;D10,D8,DA,D9;DQ,C3,CQ,C10;SA,S4,D6,SJ;S5,C9,S2,CK;HQ,H7,H3,HA;H10,H9,H4,H6;H5,DJ,HJ,H8;H2,D2,DK,HK"
1571909581,0,9,2,"C4,CK,C3,C2;D2,D9,D7,D3;S10,S4,SK,S6;SA,S3,SJ,S2;CQ,C6,CA,CJ;C5,S5,S8,S9;C10,D5,DQ,S7;D8,C7,DK,SQ;H6,H4,H7,HA;HJ,H3,H2,H5;DJ,D10,HQ,DA;C8,D4,H9,D6;H8,HK,H10,C9"
1571909581,0,4,2,"C10,CK,CJ,C2;S2,S7,SQ,S5;D8,DK,D9,D3;C9,D7,CA,C5;D4,D5,DQ,D6;S9,CQ,DA,D2;D10,C3,C6,C8;H8,S6,S8,SK;H4,S3,C4,C7;H3,H7,S10,SJ;H5,H9,SA,S4;HQ,H6,HK,H10;HA,DJ,H2,HJ"
1571909581,0,0,2,"C6,C9,C4,C2;S5,S8,SA,S4;D4,D5,D9,D3;CA,CJ,C10,CK;S2,S3,SQ,S7;SJ,S10,SK,S9;DJ,D7,D8,D2;C3,D10,DQ,D6;C8,C7,S6,DA;CQ,HQ,H8,DK;H9,HJ,H2,C5;H7,H4,H3,H10;HK,H5,H6,HA"
1571909581,0,13,2,"C8,C6,CK,C2;CA,C4,C9,C3;SQ,S6,SK,S8;C7,DJ,C10,CQ;S4,D3,CJ,C5;S7,S9,S3,S2;D2,D9,DA,DK;D6,DQ,D7,D8;S5,D5,SJ,SA;H10,HJ,HK,H5;H2,D4,H7,D10;HA,H8,H3,H4;S10,H9,H6,HQ"
1571909581,0,0,2,"CA,C9,CQ,C2;SQ,S6,S7,SA;SJ,S3,S4,S9;CJ,C5,DA,C6;DK,D9,D3,D10;D5,CK,C10,C8;DQ,C7,D2,C3;D8,S5,S10,S8;D6,H10,DJ,D4;S2,SK,HQ,C4;H7,H8,H6,D7;HK,H2,HJ,H3;H5,H4,H9,HA"
1571909581,0,3,2,"C6,C4,C5,C2;D10,DA,D6,D8;SJ,S6,S4,S7;CA,C7,D9,C8;C10,D4,CQ,C9;S10,SQ,S8,SA;S9,S3,D7,S5;D5,D2,D3,DQ;DJ,DK,S2,SK;HK,HA,H7,HJ;C3,H8,H9,HQ;CJ,H6,H10,H3;H4,CK,H5,H2"
1571909581,0,0,2,"C9,CQ,C8,C2;D3,D9,D10,D5;S7,SK,SQ,S8;DK,D4,D2,D6;CK,S5,DJ,D7;S9,C5,C10,C7;CJ,D8,C4,CA;SJ,S6,S3,S10;DQ,C3,H3,C6;S4,SA,H8,S2;HK,H4,H2,H7;H9,H5,H6,HQ;DA,HJ,H10,HA"
1571909581,0,8,2,"C10,CA,C7,C2;S6,S5,S4,SJ;SK,S10,S8,S9;D7,D8,DJ,D3;C3,C4,D4,C9;S7,CQ,D2,S3;C5,DA,DK,D9;D6,SA,CJ,D5;SQ,CK,D10,S2;H3,DQ,H4,C8;HK,H9,H10,C6;HQ,H7,HA,HJ;H5,H6,H2,H8"
1571909581,0,8,2,"CQ,C6,C5,C2;SQ,S9,S10,S6;D3,DQ,D10,DJ;C4,C8,C9,CJ;SK,C7,S7,C3;D7,D2,D5,DK;S5,SA,D8,SJ;D9,CA,D6,CK;S8,S2,H5,S4;HQ,HA,D4,DA;HK,H7,C10,S3;H4,H10,H3,H6;H8,H9,H2,HJ"
1571909581,0,0,2,"CK,CQ,C3,C2;DJ,D7,SQ,D2;S7,S8,S10,S6;DQ,D3,C10,D8;C4,CJ,C6,CA;S2,C9,DA,D6;DK,C7,S5,D10;SK,S4,D5,SA;S9,SJ,D4,S3;HA,C8,H3,C5;H6,H8,HQ,D9;H5,H10,H2,HJ;H9,HK,H4,H7"
1571909581,0,4,2,"C5,C4,C6,C2;S6,S8,S3,S9;D3,DA,D6,D8;SJ,S10,SQ,S4;C8,C3,C7,C10;S7,S2,SA,S5;DK,DJ,D4,DQ;D5,CQ,D9,SK;D2,CA,CJ,CK;D10,H10,HQ,D7;H5,H3,H2,C9;H6,HA,HK,H7;HJ,H9,H8,H4"
