1571109543,2,4,2,"C3,C4,C10,C2;SA,SK,S6,S2;CK,C8,C9,CQ;D8,D9,DK,D4;S8,CA,DJ,C5;S3,S7,S5,S10;SQ,CJ,H3,SJ;D5,H5,D3,DQ;D7,HA,D10,D6;S4,C7,HK,C6;H2,H6,S9,D2;H8,H10,H9,DA;HQ,H4,H7,HJ"
1571109543,2,6,2,"C8,CA,C9,C2;C10,C7,CJ,C3;S2,SQ,SA,SK;D2,D3,D10,D9;D5,D6,DJ,DA;S4,SJ,S7,S5;S6,S3,S9,S10;CK,DQ,C5,CQ;H8,D7,C6,C4;D8,H2,DK,S8;H7,H6,H9,HA;H4,H5,HQ,H3;HK,HJ,H10,D4"
1571109543,2,0,2,"C5,CQ,C6,C2;DJ,D7,DK,D2;CJ,C9,C10,CK;C7,S9,D6,C8;S5,SK,S6,SJ;SA,S8,S10,S3;D8,DQ,D9,D3;S7,D10,D4,D5;H2,CA,S2,S4;HJ,DA,HK,SQ;H4,H8,H6,H10;HQ,C3,H5,H9;C4,HA,H3,H7"
1571109543,2,17,2,"C4,C10,C7,C2;C9,C3,CQ,CJ;DQ,D2,DA,D8;S2,S6,SA,S7;SK,SJ,S4,S8;D5,D3,S3,S9;DJ,D9,SQ,DK;D10,D6,S5,D4;C6,H7,S10,C8;C5,HK,D7,CA;H10,H6,H3,HA;H4,H5,H9,H8;HQ,CK,HJ,H2"
1571109543,2,5,2,"CA,C8,C3,C2;D9,D8,D5,D2;S5,S9,S2,S3;C4,DQ,C5,CJ;S8,S4,C7,C9;DJ,DK,D10,D6;SK,SQ,S6,SA;H2,H8,H4,H10;D7,H7,HQ,H6;H3,S7,CQ,S10;H5,DA,C10,SJ;HK,D3,CK,H9;C6,D4,HJ,HA"
1571109543,2,8,2,"CK,C5,CQ,C2;SJ,S7,S5,S9;D3,D2,D5,DA;S2,C6,S3,S4;D6,DQ,D7,D10;C3,CA,D4,CJ;D8,C10,SA,S10;SQ,DK,C4,SK;D9,H6,C7,S8;H10,H8,C8,S6;H3,HK,C9,DJ;HQ,HJ,HA,H9;H2,H5,H4,H7"
1571109543,2,0,2,"C9,C4,C6,C2;S4,S7,S5,SK;CA,C3,C7,C10;D2,D9,D10,DQ;DK,SJ,DJ,D7;SA,SQ,D5,S2;S6,CJ,C8,CK;S10,D8,S8,C5;D3,D4,S9,CQ;H8,HA,H9,H3;H10,HQ,S3,D6;HJ,H4,H6,DA;HK,H7,H2,H5"
1571109543,2,3,2,"C7,C8,C9,C2;S10,SJ,SK,SA;DJ,D9,D4,DQ;D7,S2,D2,D8;DA,S8,D10,D3;SQ,S4,S6,S5;H10,H7,H5,H4;C5,C10,HK,CK;CA,C6,H9,C3;CJ,HA,D6,DK;S7,H8,S9,D5;CQ,H6,HQ,HJ;H3,S3,H2,C4"
1571109543,2,0,2,"CA,C3,C6,C2;S3,SA,SJ,S6;S7,SQ,S2,S5;C4,C7,CK,C8;D8,DJ,DA,DQ;D7,D2,D9,D10;D3,D5,D6,D4;C9,S4,S9,S10;H7,C10,CQ,CJ;H4,H2,DK,SK;HA,H9,C5,S8;H8,H5,H6,H3;HJ,HQ,H10,HK"
1571109543,2,10,2,"C9,C4,C5,C2;S2,SJ,S4,SK;S8,S7,SQ,S6;S9,DJ,D4,D2;D7,D5,CJ,D6;DK,S10,D9,D3;H9,CK,C8,C3;C10,CA,H8,C7;H2,C6,DA,CQ;H7,SA,D8,DQ;H6,S5,H10,S3;HQ,H5,H4,HA;H3,D10,HJ,HK"
1571109543,2,9,2,"C8,C9,C7,C2;S5,S9,SJ,S4;D8,DK,DA,D2;DQ,DJ,C4,D7;D9,C10,D4,D5;CJ,CK,CQ,C3;D6,S7,SK,D10;S3,CA,S6,SA;S2,C6,S10,SQ;H10,H5,H8,H6;C5,S8,HK,D3;H7,HJ,H2,HQ;HA,H4,H3,H9"
1571109543,2,4,2,"C7,CA,C5,C2;C9,CQ,C8,C4;SK,S2,S6,S9;D8,S10,SQ,S4;SJ,CK,S5,SA;D6,D2,DK,D9;D5,DQ,C10,D10;H6,D4,S7,D7;H7,D3,C3,DA;H5,DJ,C6,CJ;H4,S8,HA,S3;HJ,H8,HQ,H9;H2,H3,HK,H10"
1571109543,2,20,2,"C9,C8,CQ,C2;S4,CK,S6,SJ;D4,D8,D3,D7;C7,D9,S2,C10;C6,SQ,S10,C4;DJ,D6,C3,D10;SA,CA,SK,S5;C5,S3,S7,S8;CJ,DK,D5,S9;HA,D2,HK,DQ;H2,HQ,H4,H5;H10,HJ,H3,DA;H6,H8,H9,H7"
1571109543,2,19,2,"CA,C7,C5,C2;SQ,S6,S5,SJ;S4,D6,S9,S7;D8,D10,D4,DK;C4,C6,CQ,C9;CK,SA,D7,C3;S3,DQ,CJ,S8;S2,D5,C8,SK;DA,H6,H7,DJ;H5,H10,D2,D3;HQ,H2,S10,D9;HK,HA,HJ,H8;C10,H4,H3,H9"
