1571109918,2,1,3,"C7,C10,C3,C2;SA,S7,S4,S2;C8,CK,C6,CA;S10,S9,SQ,S6;S3,S8,SJ,S5;DQ,D2,D5,DK;D7,D10,DJ,DA;C9,H8,C5,CJ;CQ,H10,D6,C4;HA,D9,D3,SK;H2,H7,H6,H9;HQ,D8,H3,H4;D4,HJ,HK,H5"
1571109918,2,17,3,"C9,C8,C6,C2;D10,D6,D2,D5;S2,S3,S6,SK;S8,S9,S7,S5;C7,CJ,C4,CQ;C10,CA,D7,CK;SJ,S4,D3,S10;C5,DJ,D9,D8;SQ,DK,SA,C3;H7,DA,H8,D4;H3,HQ,H5,DQ;H4,HJ,H10,H6;HK,HA,H9,H2"
1571109918,2,1,3,"C5,CQ,C6,C2;C10,C7,D3,C9;DJ,D7,DK,DA;S5,S3,SK,SJ;S10,CJ,S9,C3;D6,C8,D2,CA;SQ,S7,S8,S4;D5,D10,D9,DQ;CK,S6,D4,D8;SA,H5,C4,S2;H2,HA,H9,H8;H6,HQ,H10,HK;H4,H7,HJ,H3"
1571109918,2,0,3,"C9,C6,C8,C2;S10,S8,SK,SA;S2,S5,SQ,S7;D9,D8,D2,D10;D5,DK,D4,D6;C3,D7,DQ,DJ;S6,CA,C7,C4;SJ,S4,HJ,S9;CJ,H3,C5,CQ;DA,HK,CK,D3;H5,H4,HQ,H7;H8,H9,S3,C10;HA,H6,H2,H10"
1571109918,2,13,3,"C9,C5,CJ,C2;SQ,S2,SA,S4;S9,D10,S5,S8;C10,C3,C7,CA;D8,DJ,SJ,D2;SK,D5,D3,D4;C8,CQ,S7,C4;HQ,S10,D7,DQ;HJ,S6,D6,CK;H2,S3,DK,C6;H9,H4,H6,H10;H5,HA,D9,HK;DA,H8,H3,H7"
1571109918,2,0,3,"CA,C8,C3,C2;CJ,CK,C5,C9;S3,S2,S6,S10;S9,S7,DJ,SJ;D6,SK,D5,S8;CQ,SA,C6,C10;DA,D2,D4,D8;D7,SQ,C7,S4;D9,D10,C4,D3;HJ,H2,DK,S5;H6,H4,H8,HQ;H9,H5,H7,H3;H10,DQ,HK,HA"
1571109918,2,0,3,"CJ,CK,CA,C2;SA,S7,S10,S9;SJ,S8,S2,S6;D6,DJ,D2,D10;C4,S5,C9,S4;D5,D9,DK,D3;D4,C7,DQ,DA;S3,C3,CQ,D8;C8,C5,C6,C10;SK,H4,SQ,D7;HK,H7,H9,H5;HA,H8,H10,HJ;H6,H3,H2,HQ"
1571109918,2,0,3,"C5,CQ,CK,C2;DJ,DA,DK,D4;SQ,SJ,S2,S10;S4,S9,D3,SK;CJ,S5,D10,SA;CA,S6,D7,S3;C4,C3,C10,C7;D2,D6,D5,DQ;S8,C6,C8,C9;H7,HK,HJ,H6;H4,H8,HA,HQ;H3,D8,H5,D9;H10,S7,H9,H2"
1571109918,2,5,3,"C7,CA,CJ,C2;SJ,SK,S8,S6;D10,D5,D8,D3;D4,D2,DQ,D7;S4,C4,CQ,C3;S7,SQ,SA,S9;D6,DK,DJ,DA;C10,C8,S5,C6;S10,S2,C9,S3;HQ,CK,HA,D9;H10,H2,H9,C5;HJ,H6,H7,H8;HK,H4,H3,H5"
1571109918,2,4,3,"C9,CQ,CA,C2;S3,SA,S5,S6;D3,D2,D8,D9;S8,SQ,DJ,D4;CJ,CK,C6,C8;S9,SJ,D5,S7;DK,S2,S10,SK;C4,HA,C3,C7;D6,H9,S4,DQ;DA,H3,C10,C5;H8,H6,HJ,H2;H4,H7,HQ,H10;HK,H5,D10,D7"
1571109918,2,13,3,"CA,CJ,C10,C2;C6,C4,C8,C5;S8,S6,S5,SJ;S7,S2,SQ,S10;DA,DJ,D4,D2;C3,SA,SK,S4;DK,DQ,D10,D3;C9,H7,CK,CQ;S9,D8,H6,D5;HK,C7,H3,S3;H2,D6,H9,HA;HJ,D7,H10,HQ;H8,D9,H5,H4"
1571109918,2,7,3,"CQ,C4,C9,C2;DA,D7,D2,D5;S3,S10,S2,S5;SQ,C10,C8,C6;D8,D4,D6,DQ;S8,SK,S7,S4;D9,D10,D3,DJ;SA,H8,CK,C5;C7,H5,H4,CJ;S6,HQ,HJ,SJ;DK,H10,H3,S9;CA,H2,H9,C3;HA,H6,H7,HK"
