1571854860,2,20,2,"C6,CA,C8,C2;D7,D9,DQ,DJ;S5,S8,S9,SJ;D5,D3,DK,D4;SA,S7,S4,S3;CJ,DA,C10,D6;C5,D8,C9,CQ;CK,D10,C4,C7;D2,S2,C3,S10;H4,SK,H3,S6;H7,H10,HA,HQ;H9,HJ,H2,H8;SQ,H5,H6,HK"
1571854860,2,10,2,"CK,C4,C10,C2;SK,S7,SJ,S9;C5,C3,SQ,C8;CA,D7,S8,C7;DJ,D2,D3,D6;D10,DQ,DK,D8;S2,D4,D9,D5;S5,S4,S3,S6;DA,H6,SA,S10;H10,H3,HQ,H8;H9,H7,H4,HK;HA,CJ,CQ,HJ;C9,C6,H5,H2"
1571854860,2,20,2,"CK,C3,C10,C2;D4,D2,D9,DK;S7,S5,S4,SJ;S8,S6,S3,S9;DA,SQ,S2,S10;DQ,D3,D10,D6;CQ,C9,C5,C7;D5,SA,C4,SK;CJ,D8,HJ,D7;H3,C8,CA,C6;H5,H10,H8,HQ;H6,H4,HA,H9;H7,H2,HK,DJ"
1571854860,2,9,2,"CK,C3,C8,C2;S8,S3,SQ,S9;CA,C9,SK,C4;S5,S6,S4,S10;CQ,DQ,C6,C10;D3,D6,D9,D5;DA,D7,C5,D8;SJ,S2,C7,S7;CJ,HK,DK,DJ;D2,H2,H6,SA;HQ,HJ,H7,D10;H8,H5,H4,D4;H9,HA,H10,H3"
1571854860,2,13,2,"C7,CQ,C8,C2;DJ,D5,DA,D4;CK,C6,C5,CA;D3,S2,D7,D10;SQ,S10,S7,SA;D9,C3,DK,D8;S5,S3,S8,S6;CJ,C4,DQ,C9;S9,HQ,C10,SK;D2,H2,H10,D6;H7,H4,HK,HA;SJ,H9,H3,HJ;S4,H5,H6,H8"
1571854860,2,9,2,"C5,CA,D4,C2;S4,SK,S6,S9;C10,C6,DK,CQ;D9,DA,D8,D7;S5,S3,S2,SA;S10,SJ,S8,S7;C8,CJ,SQ,C9;D3,D5,DQ,DJ;C3,D10,C4,D6;HK,HQ,H10,H9;D2,H6,H8,CK;HJ,HA,H3,C7;H7,H2,H5,H4"
1571854860,2,0,2,"CK,C4,CA,C2;D6,D8,D5,D4;S5,S8,S2,SA;DQ,D3,D10,D2;S10,S7,S9,SJ;C3,C8,CJ,C7;C6,DK,D7,DA;C5,S3,C10,DJ;C9,SQ,S6,S4;CQ,D9,H4,SK;H7,HJ,H6,HA;H9,HQ,HK,H5;H2,H10,H8,H3"
1571854860,2,2,2,"C4,CA,C7,C2;D8,D2,D7,DA;S9,S10,S6,S4;DQ,C5,CQ,C6;SA,D10,S7,SK;D3,DJ,D6,D4;CJ,C3,D9,C8;CK,D5,C9,C10;HK,S8,SQ,DK;H8,HQ,H2,H6;S2,H4,HA,SJ;S5,H10,H7,S3;H9,HJ,H5,H3"
1571854860,2,5,2,"C9,CA,C5,C2;DA,D7,DK,DJ;S9,SJ,S10,S7;S6,S4,S8,S3;C7,C4,D6,CQ;C3,C10,HA,CJ;CK,D5,HK,C8;D2,HJ,D10,D3;SK,SA,H3,S2;H2,H9,D4,D8;H7,H4,D9,DQ;H6,HQ,S5,SQ;H8,H10,C6,H5"
1571854860,2,0,2,"C5,C8,CK,C2;D6,DJ,D7,D4;SK,SJ,S7,S10;C10,C9,CJ,C3;DK,DA,D8,D9;SA,S9,S5,S8;D3,D10,SQ,DQ;D2,S2,CA,D5;C7,S4,C4,C6;H8,S3,HJ,S6;H7,H5,HK,HQ;H2,H10,H4,H6;CQ,H3,H9,HA"
1571854860,2,18,2,"CQ,C10,CJ,C2;D10,D8,D4,D2;C5,CA,C3,C6;S3,SJ,S4,S2;C9,C4,D5,CK;DJ,D7,DQ,D3;S9,S10,S5,S7;SA,S6,SK,S8;D9,HJ,SQ,C7;D6,H8,H2,DA;DK,HK,HA,C8;H9,H4,HQ,H3;H7,H10,H5,H6"
