1571935032,2,13,1,"C6,C10,C3,C2;D10,DQ,DK,D8;D5,DA,C5,D2;S5,S9,S6,S8;C7,D4,SQ,D6;C8,DJ,CQ,D9;S10,SJ,S3,SK;S4,CA,S7,S2;D7,C9,H3,C4;H4,HA,H10,H6;D3,HJ,HQ,CK;SA,H9,H7,CJ;H2,HK,H8,H5"
1571935032,2,1,1,"CA,C6,C3,C2;SQ,S9,S8,SJ;D10,DK,D3,D6;SK,C7,CQ,C5;S5,S2,S4,S3;D4,C10,CJ,CK;HQ,D2,DA,D5;S7,H10,DJ,SA;S10,HK,C9,S6;H9,DQ,HA,D8;H3,D7,H8,D9;H2,C4,H6,C8;H7,H5,HJ,H4"
1571935032,2,4,1,"CQ,C4,CK,C2;D5,D9,D6,DA;D4,DJ,DK,D3;SQ,SK,SJ,SA;S4,S2,S8,S10;CJ,C6,CA,C8;D7,DQ,S3,D8;S9,HA,S7,S6;H10,D10,C10,C3;C7,H9,HJ,C9;C5,H4,H6,S5;HQ,H7,H8,D2;H2,HK,H3,H5"
1571935032,2,17,1,"C10,CQ,CK,C2;DK,D8,D6,D2;CA,C9,C6,C5;DA,DQ,SQ,D3;S8,S4,S7,S6;C7,D5,D7,D9;C4,SK,C3,CJ;S3,DJ,C8,D4;SJ,SA,S2,S10;S5,H10,H9,D10;H5,H6,H8,HA;HQ,HJ,HK,H2;H7,S9,H4,H3"
1571935032,2,0,1,"C6,C5,CJ,C2;D9,DK,D2,D3;D8,D4,D7,D10;S9,DJ,DA,DQ;S5,SA,SQ,S6;C4,D5,C10,C7;CK,S8,SJ,D6;S10,S3,SK,S4;HA,HJ,H10,H3;C9,S2,H5,S7;C3,C8,H6,CQ;H9,H7,H8,H2;CA,HK,HQ,H4"
1571935032,2,13,1,"C6,CQ,SJ,C2;S9,C7,C5,C4;D8,S2,SK,S5;S6,CJ,S10,S3;D9,D7,DK,D6;C8,SQ,C3,C10;CK,D4,DA,C9;S4,S7,DJ,CA;D3,D5,H4,D10;H10,H9,H7,H6;S8,HQ,HK,SA;DQ,H2,H8,D2;H5,HJ,HA,H3"
1571935032,2,17,1,"C9,C8,C3,C2;D7,D9,D3,D4;C7,C5,CK,CA;DJ,D8,D10,DQ;S10,SK,S9,S6;S5,S7,SQ,S2;C6,CJ,CQ,C10;D2,HQ,DA,D5;SJ,S3,H6,SA;D6,S4,H9,S8;H10,HK,H5,H3;HA,H2,DK,H8;HJ,C4,H7,H4"
1571935032,2,17,1,"C10,C8,C4,C2;DQ,D5,D7,DA;DK,D4,DJ,D10;S2,S7,SQ,S6;CK,C3,CJ,C6;SK,SA,S9,S10;C5,C7,S5,CQ;D3,S4,S8,S3;D6,CA,C9,SJ;D9,H7,D2,D8;HA,H3,H4,H6;HJ,H10,H9,H5;H2,HK,HQ,H8"
1571935032,2,0,1,"CK,C9,C3,C2;S10,SA,S7,SK;DK,D5,D9,D2;D7,DJ,D3,D10;D6,C6,C8,C10;D4,C4,CQ,C7;S2,SJ,S6,S3;HJ,H4,H8,H3;S5,CA,H5,C5;HA,DQ,DA,D8;S4,HK,S9,S8;H10,HQ,H6,H7;H2,H9,SQ,CJ"
1571935032,2,13,1,"C3,CA,C7,C2;S3,S4,S6,SJ;DA,D9,D5,DK;D7,D2,DQ,DJ;CQ,C6,C10,CJ;D3,C8,D6,D8;SA,SQ,S9,S5;S8,C5,SK,C4;S10,CK,H6,S7;C9,H7,S2,D10;HQ,H9,H4,D4;H8,H5,HK,HA;H2,H3,HJ,H10"
1571935032,2,0,1,"C8,C3,CJ,C2;SQ,S7,S2,S9;S3,S6,S8,SK;DA,DQ,D10,D5;CQ,CK,C10,C9;C7,CA,C4,C6;D2,C5,D7,D6;S10,DK,S5,SA;S4,D9,HK,SJ;D3,HA,H4,DJ;D4,H3,H2,D8;H5,H8,H9,H7;HQ,H10,H6,HJ"
1571935032,2,4,1,"C7,C8,CQ,C2;D6,DK,D4,D3;S3,SA,S10,SJ;DA,DQ,D2,D5;CA,C5,C10,C4;SQ,D10,SK,S6;C9,C3,CK,CJ;S2,S9,D8,DJ;S8,S4,D7,D9;H10,H9,HJ,H4;H6,C6,S7,S5;H3,H8,H5,H7;HQ,HK,HA,H2"
1571935032,2,0,1,"C6,C9,CK,C2;SJ,SA,S10,S7;D4,D7,DQ,D6;C3,CJ,C5,C8;D9,S9,D3,D8;C7,S4,S5,SK;CA,S3,S8,S2;SQ,CQ,DA,C4;DJ,S6,D5,C10;H4,HA,H2,H10;H9,HJ,H3,H8;H6,HQ,DK,H7;D2,H5,D10,HK"
