1571112555,3,0,3,"C6,CQ,CK,C2;D6,D4,D9,D8;S4,SJ,SK,S10;DK,DJ,D5,D2;SQ,S8,D3,D10;C3,S5,DA,DQ;S3,CA,S6,SA;C10,H7,S9,S7;HQ,C9,H8,C7;H10,C8,HJ,D7;HA,C5,H5,CJ;HK,S2,H4,C4;H9,H3,H6,H2"
1571112555,3,22,3,"C7,CQ,C5,C2;DK,D5,D9,D10;S3,S6,S9,SK;DJ,D6,D8,D4;CK,C10,SQ,CJ;C6,D7,DA,D2;C4,C9,S8,CA;SJ,C3,D3,DQ;S10,S2,S7,C8;H2,H7,H8,H10;HK,HJ,H4,H3;S5,H6,H9,SA;H5,HA,HQ,S4"
1571112555,3,10,3,"C10,CK,C8,C2;DA,D5,D7,D4;S8,S9,SJ,S5;SK,D8,DJ,D10;S6,SQ,S4,S3;C6,CQ,C9,C7;S10,CJ,SA,S7;C5,D2,C3,C4;H5,CA,D3,S2;H8,H2,DK,D9;DQ,H6,H4,D6;H9,H10,HJ,H3;HQ,H7,HK,HA"
1571112555,3,4,3,"CQ,D2,C4,C2;DJ,D7,DA,D8;S8,SK,S9,SJ;SA,D5,D4,DQ;C7,S4,S6,S5;S3,C8,S7,S2;C5,D10,CJ,C6;CK,SQ,S10,CA;C9,D9,DK,C3;H5,D3,C10,D6;HA,H3,H10,H4;HQ,HK,H9,H7;H8,H2,HJ,H6"
1571112555,3,7,3,"C10,C6,CJ,C2;D4,DQ,D3,D10;S6,S8,S9,SK;S3,S5,S4,S2;D5,D8,DJ,D9;D2,CQ,C5,D7;DA,C8,S7,DK;C3,CK,D6,C9;SJ,SQ,S10,SA;HJ,HQ,H9,H3;C7,H7,H8,CA;HA,H4,H2,H5;H10,HK,H6,C4"
1571112555,3,26,3,"CK,C10,C6,C2;D2,DK,DQ,DA;SA,S4,S3,S10;CQ,C5,CJ,C9;SQ,SJ,D9,S2;D3,D5,S5,D4;S6,C3,C4,C7;S7,D7,CA,C8;HQ,H7,S9,S8;D6,HK,H10,DJ;SK,H5,H6,D10;H3,H8,H9,D8;H2,H4,HJ,HA"
1571112555,3,0,3,"C4,CA,C9,C2;S5,S10,SA,S2;DK,DQ,DJ,D6;C7,S9,SK,S8;D2,D5,D9,D7;S4,SQ,C8,S7;C5,CQ,S3,S6;C6,D10,DA,SJ;C3,CK,C10,CJ;D8,D3,HQ,D4;HA,H3,H5,H6;HJ,H7,H10,HK;H2,H8,H9,H4"
1571112555,3,0,3,"C8,C10,C9,C2;D7,D5,D6,DQ;S10,SK,S5,SA;C3,C6,CK,C4;S7,SQ,S3,S8;D10,CQ,CJ,C5;DJ,DK,D4,D2;S9,C7,SJ,CA;HQ,H5,H9,HK;H4,S2,H7,H10;D3,S6,HJ,H8;H6,D9,DA,HA;H2,D8,S4,H3"
1571112555,3,21,3,"CA,C4,C3,C2;CQ,C7,CK,C9;D5,DA,D7,D10;S2,S9,S3,S10;D6,DQ,D8,D3;C8,D4,S6,D9;SJ,SA,S8,S4;H3,D2,CJ,DK;H8,SK,C5,S7;C10,SQ,H2,DJ;H4,C6,H10,S5;H6,H9,HQ,HK;HA,HJ,H5,H7"
1571112555,3,4,3,"C9,C3,C4,C2;D4,D10,D8,D5;SA,S4,S5,S2;CQ,DK,D3,D7;SQ,D9,S7,DA;CA,S6,C6,D6;S9,C8,S10,DJ;SJ,C5,SK,S3;CK,H6,C10,CJ;H3,HA,C7,S8;HK,H2,H4,D2;H9,H8,HQ,DQ;H5,H10,HJ,H7"
1571112555,3,7,3,"C3,CJ,CK,C2;S9,SA,S10,S4;D8,D5,D7,DA;SQ,S7,C9,S5;DQ,C5,D4,D2;C6,SK,D9,D6;S8,CA,S3,S2;C8,CQ,DK,D10;C7,HJ,S6,C10;D3,H6,SJ,C4;HA,H8,H5,H4;H2,H3,HQ,DJ;HK,H9,H10,H7"
