1571849507,3,0,1,"C6,CJ,C8,C2;DK,D3,D9,DQ;C10,CA,CQ,C3;S10,SQ,S3,S7;S5,S8,SK,S4;D5,DJ,D2,D6;D8,D10,SA,D7;C9,S9,DA,D4;CK,C7,H3,C4;H9,HJ,HA,H2;H8,S6,HK,SJ;H6,C5,H10,S2;H4,H5,H7,HQ"
1571849507,3,4,1,"CQ,C3,CJ,C2;S6,S7,S10,S8;DQ,D4,D8,DK;CK,C7,C10,C4;SA,SK,S2,SJ;D6,D2,DA,D5;S9,S4,D10,S5;C8,CA,C5,C9;SQ,C6,D9,D7;D3,S3,H7,DJ;H10,HJ,H4,H8;H2,H6,HA,H9;H5,HQ,H3,HK"
1571849507,3,0,1,"C9,CA,C8,C2;SK,SQ,S7,S6;S10,S2,S9,S4;DK,D3,DA,D8;C3,D7,SA,S3;D2,DJ,D9,D4;CQ,C10,S5,C4;C6,S8,CK,C5;D6,D5,HQ,D10;C7,SJ,H3,DQ;HJ,HK,H4,CJ;HA,H7,H10,H5;H6,H2,H9,H8"
1571849507,3,17,1,"C3,C4,CJ,C2;D2,DK,D7,DA;D3,DQ,D5,D4;S3,S9,SJ,S2;SQ,CQ,S10,S5;C6,SA,S6,S8;D9,D6,DJ,D8;C8,C5,SK,CK;C10,C9,S4,C7;D10,HK,CA,S7;H4,H2,H6,H5;H9,HA,HQ,H7;HJ,H10,H8,H3"
1571849507,3,0,1,"CQ,C4,C3,C2;S4,S3,S9,SJ;S6,DJ,SA,S8;C6,CA,C5,C10;D8,D4,D2,D7;DA,SQ,D10,D5;SK,CJ,D9,S5;D3,D6,S2,S10;C8,H6,HK,C7;H3,H4,CK,DK;H8,H2,S7,DQ;HA,H5,H9,HQ;H7,C9,HJ,H10"
1571849507,3,4,1,"C8,CJ,C10,C2;DQ,D9,DJ,D10;S6,SK,S9,S2;D6,D4,S7,DK;C5,C9,CA,CQ;S5,S3,S8,SJ;C3,C4,D2,CK;D8,S4,SQ,C6;HQ,DA,S10,SA;H5,D3,D7,C7;H10,HK,H2,H9;H4,H3,HJ,H7;H8,D5,HA,H6"
1571849507,3,0,1,"C9,C6,C7,C2;S9,S4,S2,S7;D10,D4,DJ,D7;S10,S5,S3,S6;CK,C8,CA,CQ;D2,SK,DQ,SJ;C10,DK,C3,C5;D8,DA,S8,C4;D5,D3,SQ,CJ;D6,H3,SA,D9;H6,H7,H10,H4;HK,H9,H2,H8;HJ,H5,HQ,HA"
1571849507,3,5,1,"C8,C3,C6,C2;D10,D8,D9,DK;S8,C4,C9,C7;D3,D2,DJ,D7;S4,SK,S10,S2;SJ,CA,CJ,CK;S6,S5,SQ,SA;D6,C10,DA,C5;S9,DQ,D5,S7;CQ,H5,D4,S3;H6,HQ,H7,H10;H2,HA,H9,HJ;HK,H8,H4,H3"
1571849507,3,0,1,"CQ,C7,C9,C2;S6,SA,S9,S7;D3,D4,D7,DK;C5,CA,S4,CJ;S10,SJ,SQ,S8;DQ,D2,D8,D5;D9,C8,SK,S2;C4,D10,C10,C6;DA,S5,HJ,D6;HQ,HA,C3,CK;HK,H8,DJ,S3;H7,H4,H9,H10;H2,H3,H6,H5"
1571849507,3,0,1,"C10,C9,CQ,C2;S8,S7,S5,S6;D5,SK,S2,SJ;D8,D9,D4,D2;D7,DQ,DJ,D10;C6,S3,C5,C8;C3,SQ,C4,S4;CA,S10,C7,SA;HA,H4,H10,H5;D3,CK,H9,D6;DA,CJ,H6,DK;H8,HJ,H7,S9;H2,H3,HK,HQ"
1571849507,3,4,1,"C10,C3,CQ,C2;D3,D5,D10,DJ;S4,D9,D7,D6;C8,CA,C5,C9;S9,C6,DQ,DK;SQ,S2,DA,D2;S5,S6,S8,S3;H2,H7,H4,H8;SK,H5,H10,H9;H3,CJ,CK,C7;SJ,HJ,S7,D8;S10,HA,SA,D4;HK,H6,C4,HQ"
1571849507,3,16,1,"C3,C6,C5,C2;SQ,S4,S2,S10;DK,D8,D6,D3;S9,C7,C9,CJ;DQ,C4,DJ,CK;S3,D10,S5,CQ;SA,S8,S6,C10;SJ,DA,D7,D5;H6,CA,SK,S7;HK,HJ,HA,H4;H5,D4,H3,C8;H2,D9,H7,H8;H9,D2,HQ,H10"
1571849507,3,5,1,"C3,CK,C8,C2;DQ,DJ,DA,D9;D5,D3,DK,D10;S5,SJ,SQ,S3;S6,S8,S10,S4;C9,C10,CQ,CA;D4,S7,D6,D2;SK,C5,S9,SA;D7,H3,C6,S2;CJ,HJ,C4,C7;H8,H4,H5,D8;H9,H7,HK,H10;H6,HA,H2,HQ"
