1571926647,3,13,2,"C8,C3,CK,C2;S9,S8,S3,SK;CQ,CJ,C9,C5;D6,D3,D7,D2;S4,SA,DQ,S6;CA,SQ,S5,S2;D8,DA,D10,D9;C7,S10,DJ,S7;DK,C10,D5,C4;H6,C6,H9,SJ;H10,H8,H5,D4;HA,H4,H2,HQ;H3,HK,H7,HJ"
1571926647,3,0,2,"CA,C7,CQ,C2;SK,S2,SA,S9;C6,CJ,C9,CK;SQ,C8,C10,C4;DK,D3,D6,D7;DJ,D2,D9,D8;C5,SJ,S5,S3;D4,S6,DA,S8;DQ,H10,C3,S10;H7,H8,D10,D5;H4,HQ,H2,HK;S4,H3,H5,H6;S7,H9,HJ,HA"
1571926647,3,2,2,"C9,C5,CQ,C2;D5,DK,D10,DA;S7,SQ,S4,SA;C10,D8,DJ,D6;D7,C4,D4,DQ;S10,S8,S3,SJ;S9,S5,S2,SK;CK,C8,D2,D9;C7,CJ,C3,CA;H3,HA,C6,S6;HJ,H10,H5,H6;H2,H7,H4,H9;HK,D3,HQ,H8"
1571926647,3,3,2,"C7,C8,C5,C2;S8,SQ,SK,S6;SJ,S9,S2,S10;D9,DK,D8,D5;D7,C10,SA,C9;DQ,DJ,D10,D3;C3,DA,D6,D4;S3,HJ,S7,S4;S5,C4,H5,CK;H3,CQ,H2,CA;HK,D2,HA,H6;H8,H10,CJ,H9;C6,H7,H4,HQ"
1571926647,3,0,2,"CQ,C7,C8,C2;C9,C5,CA,CK;DQ,D8,D3,D10;S4,SQ,S6,S8;D6,S10,D9,DA;SJ,SK,SA,S5;C10,C6,C3,CJ;D7,D2,S7,DJ;DK,D5,S2,D4;S9,H8,H4,S3;HJ,H7,HK,C4;H2,H5,H3,HA;H10,H6,HQ,H9"
1571926647,3,6,2,"C4,C6,C7,C2;SJ,SK,S6,S8;D6,DA,D2,DQ;S10,S4,DK,S5;C9,C10,C8,C5;CA,CK,D4,CJ;SQ,S9,CQ,S7;D8,D5,DJ,D10;D7,D9,C3,D3;HQ,H4,H9,H6;H2,S2,HK,H7;H10,HJ,SA,H8;S3,H3,H5,HA"
1571926647,3,4,2,"C5,C10,CJ,C2;D5,DA,D9,DQ;S8,S9,S7,S5;D3,D4,DK,D8;SA,S4,S2,S3;D2,C9,D6,DJ;S10,C3,SQ,D7;C6,H10,C4,D10;CA,H3,SK,SJ;CQ,C7,HJ,CK;C8,H2,HK,S6;H6,H8,H9,H4;H5,HA,HQ,H7"
1571926647,3,0,2,"C7,CQ,C5,C2;D2,D6,DQ,DJ;SQ,SK,S4,S2;D8,D9,D5,DA;C8,C3,CK,C9;C6,S5,S9,S6;S3,H3,S10,SA;S7,HA,DK,SJ;H2,H5,D7,H10;CJ,H8,D3,HQ;CA,H7,D10,H6;C4,HK,S8,H4;D4,HJ,C10,H9"
1571926647,3,18,2,"C9,C4,C10,C2;CA,CQ,C7,C8;DQ,D9,D3,DK;S2,S5,S7,S10;D4,D6,CK,D8;DJ,D7,SA,D2;S6,SQ,D5,DA;C6,CJ,S8,D10;SJ,S3,C5,C3;SK,H10,H6,S9;HK,H4,H7,S4;H5,HA,H2,HJ;H9,H3,H8,HQ"
1571926647,3,13,2,"C10,CJ,C9,C2;D6,D8,D3,D2;S2,SJ,S10,S5;D10,CQ,DK,DJ;C3,C5,CA,CK;S4,S7,SQ,SK;S9,S6,S8,S3;DA,D7,C6,C7;DQ,D4,SA,C4;D9,HK,H3,C8;HA,H10,HJ,D5;H4,H7,H5,HQ;H9,H8,H6,H2"
1571926647,3,2,2,"C3,C8,C9,C2;DA,D5,DK,D10;SQ,SK,S10,SA;S9,D3,S7,S8;C5,CA,CJ,C6;S4,S6,D2,S2;C10,D4,C4,C7;D9,CQ,D6,DQ;D7,HJ,D8,DJ;H10,H4,HK,H5;H7,SJ,HA,CK;H8,S5,H3,S3;H2,HQ,H6,H9"
