1571985640,3,13,3,"C4,C8,C9,C2;S9,SK,SQ,S7;D8,D9,D4,D7;D3,DJ,DA,D2;S6,SA,S2,S4;C7,S8,C3,C6;SJ,D6,DQ,D5;DK,S5,CJ,CK;H5,S3,CQ,C10;HK,HJ,S10,D10;HQ,H9,H4,CA;H2,H10,H7,C5;H3,H6,H8,HA"
1571985640,3,0,3,"C5,C3,C7,C2;D10,DQ,D2,DK;D4,D6,DJ,D7;SA,SQ,S4,S9;D5,S10,DA,D3;D8,C6,CQ,CJ;S7,S6,S8,S5;SK,C8,D9,CK;S3,C9,H9,C4;H2,S2,HJ,CA;H3,SJ,HA,C10;H7,HQ,H5,H6;H8,H10,HK,H4"
1571985640,3,13,3,"CJ,CQ,C4,C2;D4,D9,DA,DJ;C8,C7,C10,C6;S9,SQ,SJ,S3;S10,S5,S4,S6;DQ,D8,SA,S2;SK,D6,D7,S7;D10,DK,D2,D5;S8,HK,CK,CA;H2,HA,D3,C5;HJ,H9,H5,C9;H10,H4,H7,C3;H8,HQ,H3,H6"
1571985640,3,0,3,"C5,C7,CQ,C2;D5,DQ,D9,D6;SQ,S2,S3,S7;CK,C3,C9,C6;DA,SA,D8,DK;C8,CA,D2,C4;S4,SJ,S9,S5;H3,DJ,D10,D3;D4,S8,H9,CJ;SK,S10,H8,C10;H4,D7,HQ,S6;HJ,H10,HK,H6;H2,H5,HA,H7"
1571985640,3,1,3,"C4,CQ,C7,C2;DK,DJ,DQ,D7;S7,S10,S9,SK;SQ,S3,S6,S4;C5,C9,C3,C6;D6,D9,D10,D3;D8,C10,CK,CA;D2,S8,C8,CJ;DA,SA,SJ,S2;S5,D5,HQ,D4;H10,H8,H6,H5;H4,H7,H9,HK;HA,H3,H2,HJ"
1571985640,3,21,3,"C8,CK,C10,C2;DJ,D6,D9,D3;S10,SJ,S8,SA;CA,C7,C5,CJ;DQ,DA,DK,D4;S5,SQ,S6,S4;D10,C6,CQ,C3;C9,H7,S2,C4;H9,S9,D2,S3;D8,H10,H4,D7;HQ,HA,S7,D5;HJ,H6,H3,H2;H5,SK,H8,HK"
1571985640,3,7,3,"C4,C8,C7,C2;CJ,C10,C9,C5;D4,D8,D9,DQ;SK,S5,S2,S7;SQ,S10,S3,S9;CK,CA,C3,C6;D2,D7,DA,DJ;D3,D6,SJ,D10;S4,SA,S8,S6;HQ,H9,DK,CQ;H5,H7,H3,H8;H4,HA,H2,H6;D5,H10,HJ,HK"
1571985640,3,16,3,"C5,CJ,C7,C2;SQ,SK,S7,S2;D9,D5,DK,DJ;D2,D3,C4,DA;C9,SJ,S5,SA;D10,D8,S8,DQ;C10,CK,CA,C3;S3,H2,S6,S4;CQ,C8,H5,C6;S9,H10,D6,S10;HA,HJ,H7,HQ;H3,D4,H9,H8;H6,HK,D7,H4"
1571985640,3,8,3,"C4,C6,CK,C2;D5,D2,D4,D10;S9,SA,SK,SJ;DA,D6,D7,D3;SQ,S4,S6,S2;C10,DK,S3,D9;S8,D8,C8,DQ;CA,CJ,CQ,DJ;S10,C5,H8,C9;S7,S5,H2,C3;H7,H10,H3,C7;HA,H4,H9,HQ;HJ,H6,H5,HK"
1571985640,3,4,3,"C8,C5,CQ,C2;SQ,SJ,D7,S10;C7,CJ,D3,C10;DA,D9,D10,D5;SA,S7,CK,S2;DK,C4,S8,CA;S3,DQ,S5,S4;D2,D6,DJ,D4;D8,C9,SK,C6;S6,H5,S9,C3;HQ,HA,HJ,H10;H9,H2,H8,H7;H3,H4,H6,HK"
1571985640,3,3,3,"CQ,C3,C10,C2;S3,S9,SJ,S7;CJ,C4,C9,C6;S2,S5,SQ,S10;D9,D5,SK,S6;D4,D7,DA,DJ;D2,S8,D6,DK;D3,CK,DQ,D10;CA,C5,C8,C7;H5,H8,H7,H9;SA,H3,H2,HK;D8,HJ,HA,H4;HQ,S4,H10,H6"
1571985640,3,0,3,"CQ,CJ,C5,C2;CA,C6,C9,C10;SJ,S7,S2,S5;S4,SQ,S6,SA;DQ,D4,DJ,D5;C4,C3,CK,C8;S10,D10,S8,SK;D7,HJ,S3,S9;D9,H10,H5,D2;H7,H8,DA,D6;DK,HQ,H4,D3;H2,H3,HK,C7;H9,H6,HA,D8"
1571985640,3,22,3,"CJ,CK,CA,C2;SK,SA,S9,S6;D2,D6,D9,D7;C10,C6,C7,C8;S2,S5,SQ,S7;S10,C9,S3,SJ;DQ,D8,D10,DJ;D3,S8,D5,DA;C3,CQ,C4,C5;H8,HJ,HQ,H10;H4,HK,H6,H3;D4,HA,H5,S4;H2,H7,H9,DK"
